comment,comment_target,sentiment
the jews invaded palestine you dumb arses palestine has the right to defend herself god commanded the jews through moses with the ten commandments the first being thou shalt not kill solve your problems peaceful and yet the jews have committed every sin since and the fools that support the jews and their evil because the jews told constantine that god is going to reward you if you do wtf yeah like he rewarded the americans for slavery with a civil war those who live by evil means die by them and just like september 11th there is nothing to say that 7 october was not an inside job since it has aided the jews with their clear agenda the ukrainians attacked russian civilians in 2014 committing genocide putin had no choice but to come to their aid all this western propaganda its sickening but continue making out that america is innocent when it is the aggressor and always has been,"russia, ukraine",positif
tyt should stop covering foreign policy as they obviously know nothing about it and buy into conspiracy theories and russian propaganda russia has been bombing ukraine indiscriminately for years targeting civilians and its about time they are allowed to strike back on russian soil to defend themselves cenks argument about this decision not having any effect on the war is the most idiotic argument i have ever hear from him if it doesnt matter why should the russians care you cant argue that on one hand its a dangerous escalation and on the other hand is has no effect,"russia, ukraine",negatif
nato never said that it wont expand putin in 2003 himself said that ukraine wanting to join nato was their right and russia wont interfere,"russia, ukraine",positif
folks do understand north korean forces are being battle hardened in ukraine for the military aggression of south korea,ukraine,negatif
dont be weak putin doesnt respond to diplomacy he responds to strengththis weak pathetic dilly dallying by europe and some in the us is what prolonged this war had ukraine been allowed to act more decisively in the beginning while russias war machine was still slow this war would have been over alreadyputin is not going to use nukes against nato his own generals would take him out the minute he orders them togo full tilt now or lose 10s of millions of people later,"russia, ukraine",negatif
yes moscow anna sad sad news,russia,negatif
the reason why we care more about the civilians killed in ukraine than we do in gaza is gaza started the war by killing 1500 innocent young people in israel unprovoked and has continued to vote in a terrorist leadership that probably will keep doing it again if they can whereas ukraine was completely innocent and got invaded so thats why we have to continue to invade gaza to put in a leadership that will not continue the terrorism against israel whereas we dont have the same worry of ukrainians committing terrorism on their neighbors get the difference ana,ukraine,positif
puppet biden signing off on this is wild smh all this will do is going to bring more pain for ukraine the mother country is going to take off the kid gloves now,ukraine,negatif
oh my god theyre on the putin payroll the war was not because of nato lol or because putin was scared of trump before its because the democratic reformer from ukraine zelensky that putin hates was not elected until 2019 and then after that we had covid and then russia invaded after that so thats why they invaded at that time to get democratic reformers zelinski out of power not because they were scared of trump before or were mad about nato lol edit also they really wanted that particular region in eastern ukraine the donbas because that is where the best oil and gas fields are in ukraine not because they have nazis there lol so putin figured they might as well go get them now,"russia, ukraine",negatif
oh right the young arabs will deny ukraine chances to defend themselves,ukraine,negatif
you could hardly have shown better that you are simply illinformed naive and blinded by fear on this subject ana and cenkas a country under attack ukraine has the right to defend itself under international law which also means that it may attack military targets on the entire territory of the aggressor russia the critical mistake is therefore not to help ukraine to defend itself accordingly but to impose restrictions on ukraine to use weapons only on its own territory fun fact the west does not impose such restrictions on weapons to israelon this point ana and cenk clearly support russias view that ukraine should not be given this permissionrussia not the us is the one who doesnt want to stop escalating russia let its military invade ukraine russia targets ukrainian civilian infrastructure russia could stop the war at any time by ceasing all combat operations against ukraine and withdrawing its military but russia does not want to stop terrorizing the ukrainian peoplehere too ana and cenk take the russian view that it is not russia but the us that is escalating the situation further and furtherthe current situation is that neither ukraine nor russia can resolve the war militarilybut ana and cenk are again taking russias point of view and claiming completely unrealistically that russia is about to win the war militarilyrussia is well aware of the power of its mendacious propaganda and its empty threats of escalation or wwiii illinformed naive and fearblinded people believe every word from the kremlin and thus become putins useful idiots as you can easily see from the absurd statements of ana and cenk in the videorussia has no interest in wwiii it is not even capable of defeating ukraine militarily within 3 years so how is russia supposed to compete with the entire might of nato for almost 3 years now every country in the world has seen that russia is militarily weak and now on the verge of economic collapse due to western sanctions which country apart from north korea would want to fight alongside russia in a war against nato and why china out of loyalty certainly notand ana again repeats the longdisproved lie that the ukrainians did not continue peace talks with russia in 2022 because they were ordered to do so by boris johnson any editor or journalist who takes their job seriously and has looked into this matter knows full well that the ukrainians broke off peace talks with russia because of the revelation of the terrible russian war crimes in bucha,"russia, ukraine",positif
you failed to mention that russian land incursions have only happened under obama and biden trump finish wars and the dems start them,russia,negatif
the mistake was not going in harder earlier and providing everything ukraine needed to protect itself all the blame for this war is on putin it could end tomorrow if the russian military just got out of ukraine,"russia, ukraine",negatif
russia is winning the war 3 years and thousands of casualties on them cand all they have a few counties on the eastern side i dont really consider that winning,russia,negatif
i am amazed at the doubling down hardcore globalists in the comments who reject even most of their fellow liberals and instead actually favor war with russia some of yall liberal commenters are more neo con and more war mongering than bush and rumsfeld,russia,negatif
cenk is a clown he doesnt know why putin invaded,russia,negatif
love you guys but youre wrong on this one biden should have taken off the boxing gloves well over a year ago have you learned nothing from vietnam and korea the russians are not winning simply occupying land and mining it isnt winning when you have such a huge casualty rate and extreme loss of equipment allowing the ukrainians to destroy russian supply and infrastructure is how you win a war i do agree that it seems stupid that biden waited so long do this but he also waited too long to drop out the the race this time around we can agree to disagree,"russia, ukraine",negatif
trump wanting the war to end is bending over for putin putin will take his gains recover and invade again in a few years,russia,negatif
so russia is allowed to escalate time and time again is ok but when ukraine retaliates it is bad get it in your heads that russia is threatening europe and has to be stopped now remember that us uk and russia guaranteed to protect ukraine in order for them to give up their nukes biden and sullivan has been to slow for long now russia will never use thei nukes,"russia, ukraine",negatif
oh no giving a small country the proper tools to fight back against the worlds largest country mass killing innocent people its not like we have an obligation or something oh wait we do its part of the 1993 denuclearization act you cant escalate a war a war is the escalation i say good on joe for this one pretending that there is a negotiation with russia is a joke emmanuel macron the french president literally gave putin multiple options before the war even started and he didnt even look at the options,russia,negatif
i think ukraine should have been allowed to attack in russia long agorussia started the war for the most part their people are going about their day as normal unless you may live on the borderlet them send some missles into major cities in russia just as russia is already doing in ukrainesecond its a bunch of bs that russia is always calling the stipulations of helping ukraineoh if you let them do this we can do that now they have got weapons and troops from another country to help an offenseso yeah us should allow ukraine more drastic measiures,"russia, ukraine",negatif
tyt was always terrible on ukraine,ukraine,negatif
democrats are trying to escalate the conflict in ukraine so that trump will have a harder time resolving it,ukraine,negatif
stupid analysis and comments in this channelatacams use us and nato satellites and intelligence and officers to set the flight assignments and targets into russiaukraine cannot do thisthey just press the fire buttonthat puts usa as directly involved and participant in the war imagine if russia done the same thing in mexico given the mexicans russian missiles to attack usa and programming flight assignments and targets in us soil killing us soldiershow would usa react the usa will strike russia back,"russia, ukraine",negatif
western corporations have drooled over exploiting ukraines natural resources since 2008 they western governments to instigate this war as early as 2012 this war was 100 instigated and pushed for by western corporations using western governments as their puppets biden is still their puppet biden was ordered to expand the war before trump can take office and shit it down ukrainians have been slaughtered and hundreds of billions of us tax dollars wasted because corporations want to pillage ukrainian natural resources if china and russia had done in mexico what we have been doing in ukraine since 2012 the us would have been forced to invade mexico wwiii to benefit corporations and the military industrial complex has always been the goal now biden is following his orders and trying to make it impossible for trump to stop,"russia, ukraine",negatif
get russia out of ukraine,"russia, ukraine",positif
american politicians main interest never was to end the war quickly imho i think the us even had strong incentives to prolong the war in ukraine for three reasons1 to make it as costly and damaging as possible for russia2 to strengthen us corporations involved in the military industry3 to gain a testbed for future modern warfare against another mayor power without direct involvement,"russia, ukraine",positif
i think trump is going to be hawkish to russia because of who he surrounds himself with he filled his cabinet with neocons because hes a neocon himself trump is many things not only is he incredibly stupid but he is also insanely gullible he is their useful idiot who will do their agenda and they will tell him that putin thinks hes weak and trump is going to send in more missiles and will try to mess with russia to prove to the neocons and his own narcissistic ego that he is not weak he will escalate just like he escalated the drone attacks and if anyone still thinks trump is puttins puppet he is not he tore up a longrange missile treaty with russia he will mess with russia and china because he cannot help himself he sees himself as a dictator like putin and xi and he sees them as his enemies this is going to end up very bad for everyone,russia,negatif
russia started the open war but the us has been bribing politicians interfering in elections expanding military alliances beyond what was assured to russia and generally waging cold diplomatic and political warfare for years not only that but the regions russia is trying to annex demonstrated democratically that they want to secede from ukraine and join the russian federation so russia are justified not only in retaliating but in annexing a region whose democratic mandate was denied and violently suppressed by the ukrainian government,"russia, ukraine",negatif
more like cenk uygur makes critical error in the russiaukraine conflict,"russia, ukraine",negatif
cenki have to disagree with you hereregarding nato promising russia that it will not expand anymore that was never a binding agreement but lets assume it was russia asked ukraine to return their nuclear weapons for security in 1991 yet russia invaded ukrainelongrange weapons into russian territory would help ukraine stop the russian advances and better negotiate a ceasefire most leftwing europeans have been asking that for a while recently russia changed its nuclear doctrine in my opinion its a way to scare the west into not providing any more weapons to ukraine but heres the thing russia was the one escalating and threatening the world with nuclear weapons heres a scenario lets say russia did use nuclear weapons battlefield or citykiller on ukraine do you think the west would say well stop providing weapons absolutely not they will retaliate and destroy russias capabilities thats the last thing putin wants to do unless he wants to see the world endanother scenario lets say the west does nothing and russia took over ukraine would putin stop the eastern block is terrified of a russian military aggression they do not want to live under putins regime lets say putin did not stop and then eventually nato will have to step in to defend if putin did stop he would have difficulty suppressing insurgence with a weakened militaryso the whole war in ukraine is a disaster for putin and russia they didnt expect a strong western response their conventional military is weak asking north korea help nearly 3 years in shows weakness theyve become a pariah state that depends on china and their economy could collapse in the next 5 to 10 yearsquestion then if putin is so concerned about russias security against nato and that he wouldnt invade a nonnato country why did sweden and finland join nato finland borders russia giving easy access for nato to invade i know war sucks and i see why many people are pissed off with the us being indirectly involved but dont fall for disinformation,"russia, ukraine",positif
turks read the history there was no ukraine we are taking the lands that we recaptured from the ottoman empire that is we killed your ancestors to give the territories to ukraine,ukraine,negatif
i didnt know so many tyt subscribers had investments and stocks in rytheon bowing and lockheed martin smart investment democrat voter now you people voting democrat doesnt seem as moronic as i thought if youre invested in mic stocks cenk its debatable russia started this,russia,negatif
raise taxes so we can send more to ukraine,ukraine,negatif
i disagree with the statement that russia started the war the reason for the war was the nato expansion if mexico would join a military alliance with russia the us would also not allow it,russia,negatif
ayo these are sovereign countries that decided to join nato or be part of the european union who the fuck is russia to decide what they do or dont do,russia,negatif
trump loses in 2020 with afghan withdrawal hurting joe now joe is like ooh yeah ukraine use them booms deal with that donny,ukraine,positif
cenk and ana i usually have a lot of respect for your opinions because you try to be as honest and objective as you can but in this case you really dont understand whats going on in ukrainerussia1 ana makes it sound like russias incremental advances on the battle field means that theyre on the verge of winning the war at the rate russia is advancing itll take them decades to conquer all of ukraine2 this is a war of attrition and its working russia has extremely high casualties 1000 men per day and they cant recruit enough soldiers to make up for the losses which is one of the reasons why putin is now using nk soldiers2b the russian economy is on the verge of collapse inflation is high exchange rate from rubles to dollars is now 100 to 1 interest rates are record high 21 theyre short of man power not just for the army but in all sorts of industries as well theyre running out of savings to plug their fiscal deficits3 putin wont escalate a conflict with usa when a putinsympathetic president is about to take power in 2 months hell just have to swallow this provocation4 ana has asked what the strategy is against russia this is it wearing russia down without risking a nuclear provocation ukraine is retreating slowly because thats the best way to preserve your army zelensky actually cares about his men unlike putin while bleeding russia dry both in bloodmoney and equipment for each kilometer gained5 its quite likely that trump will try to force a peace that favors russia over ukraine before russia collapses but that doesnt mean that biden helping ukraine is wrong,"russia, ukraine",positif
have tyt become a putinpropagandamachine feels wierd but hey right up the newturksalley,russia,negatif
i was born in odessa and my whole family still lives there they would rather rejoin with russia weve always felt russian not just us everyone in all the towns and cities near us south and eastern ukraine has way more ethnic russians this is merely a proxy war for america to weaken russia at the cost of ukrainian lives all in the disguise of were helping the ukrainians btw zelenskyy is very unpopular right now in ukraine i speak to my family and friends there often,"russia, ukraine",negatif
its not often i disagree with tyt like this as a progressive from europe the netherlands i really have a different point of view where to start 1 every people every nation has the right to determine its own path poland the baltic states chech republic romania etc they chose to join nato and the eu and the war in ukraine proves beyond the shadow of a doubt they were right to do so putin wouldnt dare attack a nato member state he did ukraine2 usa uk canada the soviet union came to liberate us in europe and the netherlands from nazi rule we should never allow fascist dictators to grab whatever land they want or claim it is somehow historically always been theirs3 funding ukraines selfdefense is cheap compared to having putin and china take whatever they want and abandon international rule of law the conflict in middle east proves this very point the fact that biden supports the occupier going against a plethora of un rulings and ngos advice this undermines usa credibility in the middle east and the world as a whole4 the weak response to the occupation of crimea and south ossetia made putin believe he could do whatever he wants in eastern europe he has been threatening escalation since day 1 of the expanded war in ukraine in 2022 this is no different4 biden and the usa did not start this war putin did 5this is too little too late6 progressives around the world should support freedom of individuals and nations anywhere alwaysread and watch timothy snyder explain all this better than i can,"russia, ukraine",positif
if you want to know why trump won this is the reason literally this if anyone in congress wants to go and fight this war by all means let them go become a ukrainian citizen and fight it but leave us out of it,ukraine,negatif
tyt parrots putin propaganda blame is on both sides some good people on both sides you are pathetic blood of ukrainian children is on your hands this policy change is almost nothing too little too late ukrainian cities are flattened million people died and wounded and tens of millions displaced because cowards from the west are appeasing to russia europe is at stake and you cheer for putin,"russia, ukraine",negatif
why were you not saying russia escalates war against ukraine when north korea joined the war against ukraine do some research plz,"russia, ukraine",negatif
say that to a country who have the right to exist if they deemed so its there choice fighting for your country is in anyone gene if they say no its no screw putin,russia,negatif
these 2 goofs i swear russia had been pounding ukraine relentlessly now ukraine can strike back and they are all up in arms gtfoh,"russia, ukraine",negatif
critical error sorry guys youre way off on this one biden should have done this long ago ruzzia fires missiles and drones every night at ukrainian cities its about time they were able to really do something about this dont be scared pootin isnt gonna do anything,ukraine,negatif
okay heres the opposing view cenk this was far too little too late if we had given longrange missiles and more capability early on as in 18 months to 2 years ago they potentially would be winning the war right now and it wouldnt be a question we know that russia has these fictitious red lines that amount to nothing second this serves a significant purpose in telling our european allies that they too can send longrange weapons so when trump takes over they will already be sending longrange weapons whether we are or not at that point so you crane can continue fighting and can turn the tide of the war by all accounts ukraine can still very much win this war but the united states and our allies have restricted and handicapped them to the point where they have not been able to succeed sadly,"russia, ukraine",negatif
this is the one thing i hard disagree with if you want to avoid war in taiwan we must support ukraine until victory,ukraine,positif
cenk admits russia was told nato would not encroach on its borders yet states that russia started this war,russia,negatif
this whole conflict started with the nato asking ukraine to join knowing that putin would be against it he said so many times nato chose to start what putin made clear would be agression i do not say that putin did the right thing but the nato knew what would happen and they still chose to do so now theyre acting like victims blaming it all on russia alone,"russia, ukraine",negatif
i expect ana to soon join the other putin bots that are jimmy dore and dave rubin,russia,negatif
sad to see what tyt has become over the last decade tyt is spewing talking points straight out of russian propaganda the rhetoric here is disturbing trying to make ukraine and western allies to look like the aggressors here total gaslighing russia signed treaties guaranteeing the soverignty security and terriotorial integrity of ukraine whatever treaty they sign next will be ignored when the russians decide the time is right to make the next move the russians have no interest in peace other than total ukranian surrender and turning ukraine into a vassal state under their complete control whoever triumphantly declares peace with russia has been achieved will be the next chamberlain russia must lose and the west must see to it that ukraine drives out the invaders,"russia, ukraine",positif
russia escalates on its own this is right,russia,positif
i have a lot of respect for tyt and cenk especially but on ukraine they have been consistently wrong alongside many american left pundits and many more on the right openly flirting with prorussia talking points ukraine is fighting an existential battle for its right to self determination and if they fall the entire european continent becomes directly ensnared in hot war granting ukraine the right to use longrange missiles should have happened months frankly years ago hitting russian war machine assets where under the cloak of legal handties they have been churning out death weapons without riskwe can have that argument on us military spending and what is too much for ukraine and i would agree europe should expand their own defence capabilities and is by the way i speak as a brit living in the uk we have spent billions every year on military support but separate to that should not be the us intentionally preventing ukraine from fighting back fairly in case they poke the bear when you are fighting an existential battle for your right as a sovereign peoples being told the weapons you can and cannot use is unacceptable many in the us seem unable to comprehend this probably because they feel safe and secure on their basically impregnable north american continent,"russia, ukraine",positif
these are weapons the ukrainians have no idea how they work we have troops there now helping ukraine and will be the ones doing everything except pushing the button i know this as fact as i know troops who have been deployed there,ukraine,negatif
this will allow ukraine to hold the land they took from russia in the north so when trump give putin ukrainian land they will have to forfeit the land they loss to ukraine,"russia, ukraine",positif
this is not a major escalation they have very few of these missiles left i think the tyt folks should watch this video to understand why some in the center and right are afraid that a turn to the left will lead to communism there is actual sympathy for russia in this video the west did not go to eastern europe to take countries from putins orbit those countries came to the west cause they didnt want to be under the thumb of russia do you remember what putin did in georgia or crimea if nothing is done he just keeps going,"russia, ukraine",negatif
omg shockingly bad this reaction time to unsubscribe no big deal russia involves north korea no escalation at allwhaaaat,russia,negatif
about time the policy change shouldve been done much earlier but i fear with that putin admirer soon to be potus it may too late,russia,negatif
you consider this decision a mistake this shows how clueless youre about the geopolitics russia and modern warfare im sorry but youre completely ignorant as youre expressing your strong opinions on something you have no expertise in commenting on just dumb unsubscribing from your channel russia is winning the war youre clueless,russia,positif
there are several angles to see this first russia will likely escalate either by trying to use more devastating tactics in ukraine or by arming the us enemies or both second this could help ukraine prevent russian attacks on their infrastructure by destroying the weapons used against them inside russia third this could also help ukraine by disrupting russias logistics and manufacturing which could restrict russias mobilization of troops and equipment fourth if the damage in russia is severe russia may be tempted to use tactical nuclear weapons in ukraine overall this will help ukraine but it wont help them win the war because they just cant ukraine has a demographic disadvantage disparity that will become even more pronounced as the war continues second damage to ukraines infrastructure will continue to accumulate overtime making it harder to rebuild after the end of the war third ukraine does not have nuclear weapons if russia sees itself in danger they will use tactical nuclear weapons in ukraine in conclusion this was a war that ukraine could not fully win from the beginning given us and nato doctrine which is to avoid direct confrontation with russia getting rid of putin would not help as russia sees ukraine as an existential issue so it wouldnt matter who was in charge this war needed to be prevented before it became a war realistically speaking ukraine will effectively lose part of their territory and my prediction is that russia will not sign a peace treaty as doing so would allow what is left of ukraine from joining nato that is not in russias interest russia wants a buffer or control the land between them and the carpathian mountains they will only sign a truce or armistice which would prevent ukraine from joining nato as they would still be technically at war with russia if the us and europe wanted to prevent this outcome once it became clear that russia was about to invade ukraine in 2022 they should have mobilized large amounts of troops on russias borders and forced russia to similarly move their troops to keep them away from ukraine and to bankrupt them moving troops costs money nato and the us wont do this so the outcome of this war was already decided before it began,"russia, ukraine",positif
quite surprised by the blatant use of russian propaganda talking points you guys usually do a lot better research than this,russia,negatif
the young turks are so ignorant when it comes to russias war on ukraine,"russia, ukraine",negatif
do followers of this channel know that this war has been going on since 2014 because they act like it just started with russias military aggression,russia,negatif
whats the alternative pretend ukraine is winning pretend russia wins,"russia, ukraine",negatif
you know nothing about the war in ukraine stop talking about it,ukraine,negatif
i dont mean to burst your bubble but russia is trading missile technology for foreign fighters this cannot be allowed to stand unmet it puts japan and and south korea at risk ukraine has already been striking with drones in russia this is hardly an escalation,"russia, ukraine",negatif
i appreciate the analyzes from the tyt moderators but with putins war on ukraine they show their naive and clueless side towards putin and his terror in europe,"russia, ukraine",negatif
let ukraine start a big war you say totally absurd,ukraine,negatif
even if you accept that nato encroachment is the motivating factor of this conflict realize that natos border is right next door putins ambitions dont end with ukraine but hes not about to start with a nato member hes been betting on the alliance fracturing over ukraine and its western members abandoning its eastern european partners which would pave the way for further escalation up to and including military incursions this from the start has been a game of containing russian aggression to ukraine and sadly the wests restraint was to contain it within a non nato state at the expense of ukrainian soldiers and civilians biden has been very cautious to manage the risk of any russian retaliation but frankly at this point there is no credible russian deterrence as cenk and ana breeze over ukraine invaded russia they have been striking deep within russia and striking with shorter range us supplied weapons within russia nothing happened because putin has no credible optionsalso i would not be shocked if trumps team was behind this in part everyone who bought into russiagate like cenk assumed for far too long trump was at putins beck and call and yes hes shown a troubling admiration for dictators but he also like a good dictator doesnt want to appear weak hes not going to just give into russian demands and hed probably like there to be some pressure to strengthen the ukrainian position because yes russia is absolutely winning at the moment and frankly has been the entire time because they have a 31 population advantage and a military strategy of throwing waves of men into the meat grinder as they suffer 71 and 81 casualty ratios compared to ukrainian losses but the involvement of nk shows putin fears further mobilization but cenk is wrong this matters this move is just as much about sending a message to pyongyang that they best think twice about joining this fight,"russia, ukraine",negatif
cant wait until trump get in office and lets russia annex half of ukraine and we can end this whole mess,"russia, ukraine",negatif
this like much of your ukraine coverage was a really bad take youll realize this if in a few years time russia finds itself right up against the borders of poland you really arent going to want that,"russia, ukraine",negatif
the west did say that any country who chooses to join nato and which is in proximity to russia must not produce buy or own any atomic weapons the contract also stated that russia does not have a voice in which country decides to join the nato and russia accepted that so basically it is not true that the west promised russia that no country close to russia can t join nato also even if we had made this promise we nato and therefore the usa too promised ukraine if they get rid of their atomic aresenal we would defend them in case russia is starting aggresions or even a war nobody talks about that fact last put not least the war industrial complex will always win as long we fight wars around the world if we deescalate now and give russia what it wants in 5 years time we will have another conflict with russia and i don t want to know what an emboldend putin will do than europe must start looking after its own security and affaires the usa is neither trustworthy nor commited anymore to look support europe unfortunately,"russia, ukraine",positif
russia deserves 100 of the blame wtf are you talking about,russia,negatif
a collection of filthy pro russia talking hoaxessubscribing no more,russia,negatif
oh wowrussian propaganda now on tyt utterly disappointing time to unsubscribe,russia,negatif
north korean troops are fighting on european soil against a sovereign country that was illegally invaded by russia and your reaction is so what,russia,negatif
america promised ukraine that if they gave up their nukes then the us would protect them _if you are going to cut them off then give them back their nukes_ at the time ukraine had possessed the worlds 4th largest nuclear arsenal,ukraine,negatif
easy to say its a critical error when youre on the other side of the planet sitting on your couch most europeans support it russia bombards ukraine on the daily with weaponry created domestically and by its allies why shouldnt ukraine do the same russia will not stop after ukraine which is what most of nato realises the right move to make but should have been done earlier,"russia, ukraine",positif
now russia has the green light to boost up us adversaries with some proper weapons to strike inside the us or eu syria libya yemen etc maybe boost nks and irans nuclear capabilities it begins here,russia,positif
i dont agree with this analysis russia can end the war by leaving ukranian territory at any timei think you guys are cowards and isolationist when it comes to foreign affairs,russia,negatif
so why again does russia want ukraine is it the 1 human characteristic that more is never enough now north korea hey maybe its an ill scratch your back you scratch mine type thinking by north korea hes a warmonger too and he doesnt like us either,"russia, ukraine",negatif
being 45 effective after 2 12 years just to control 18 is not winning if the us lost 55 of all of its military equipment including stuff in storage and had a casualty rate of over 700000 just to control 18 of canada she would be saying the us is losingrussia cant escalate anything like i said its down to 55 of its equipment some of which cant be used in this conflict because its navy ships cant get into the black sea or are hiding in port in the black sea sure russia could use nukes but so can pakistan and north korea,russia,negatif
tyts understanding of the ur conflict lacks nuance and should be taken with a grain of salt their position represents american hegemony with a limited understanding of the useunatorussia relationship there are multiple sources on youtube if you want a better understanding of the history and the situation eg,russia,netral
tyt getting checks from putin now too eh you cant let comparison of Putin to Hitler do what he wants how can you be so thick as to not understand that allowing his aggression to succeed will actually lead to more aggression worldwide and likely ww3 not prevent it stop him in his tracks what should have been done from day 1 and the world will be or would have been a safer place for a generation again let putin succeed and things are going to get a lot uglier in europe southeast asia africa and on and on and the global conflict will happen and cost everyone,russia,negatif
what a load of bs ukraine is a souvereign country which has every right to join nato,ukraine,negatif
i like cenk but on this point he just clearly doesnt care enough about ukraine ukraine is supposed to keep fighting with their hands tied behind their backs to appease mad man putin thats preposterous,"russia, ukraine",negatif
anna do better please that peace deal you mentioned was nothing but capitulation for ukraine russia strikes whatever they want enywhere so why ukraine cant this is leveling the field,"russia, ukraine",positif
putin is never going to give up you dont negotiate with satan the only way to save ukraine is to defeat putin,"russia, ukraine",negatif
zelensky in power despite term expiring do the ukraines see zelensky as a rich beggar for own gains or a real fighter for their nation,ukraine,positif
you guys really need to read up on the conflict to fully understand the situation in ukraine if you spent as much time on this subject as you do on the israelpalestine conflict you might come to the same conclusions most of your subscribers do very very dissatisfied with your interpretation of whats going on,ukraine,negatif
i usually agree with cenk but he sounds dumb as hell today striking inside of russia will make the war hit home for civilians eroding putin support and making him reconsider all the losses russia is taking,russia,positif
why give putin a kgb agent any credit as if he is an honest actor or a statesman and not a dictator,russia,negatif
any peace deal is not a peace deal its a temporary cessation of hostility putin will use it as an opportunity to rearm and continue the war in 10 years with an army thats learned it lessonsas for encroachment in eastern europe all those former warsaw pact nations that joined in the 2000s asked to join why they didnt trust putin russia i wonder why that was,russia,positif
ask yourselves why so many former ussr countries are desperate to join nato nothing to do with the centuries of history of russian invasions im sure tyt talking nonsense as per,russia,negatif
cenk wants to reward putin for his war crimes while ana claims she speaks for the ukrainian civilians who are being invaded what silly billys both of them are,"russia, ukraine",negatif
russia deserves all thhe blame what ana and tyt are doing is to demand that the targets of said military aggression ukraine bend over and negoiate with an enemy with bad intentsits obvious that none of these tyt punks has ever served in any army or been invaded,"russia, ukraine",negatif
blame america for putins aggressionright,russia,negatif
i hope zelensky doesnt just give in to putin after all this time with trumps weak deal to give putin what he has taken its just a weak deal anyone could do that,"russia, ukraine",positif
at this pace it would take to russia a century to occupy the whole ukraine i think biden did the right thing and i am pretty sure the uk and france will follow soon if germany switch their chancellors soon its most likely gonna boost even more the help to ukraine eu is climbing in power thats the only thing dictators understand and respect,"russia, ukraine",negatif
cenk has been anti biden ever since the israeli conflict happened he is not making sense here obviously we have been involved in the ukraine war by proxy since the beginning this is also a proving ground for brics to observe our resolve it will relate to future conflicts that we may be more directly confronted with taiwan anyone,ukraine,negatif
ukraine is the dam for russias expansionism they wont stop except by attrition or the complete absorption of ukraine and their resources at which point ukrainians become forced cannon fodder for the next country,"russia, ukraine",negatif
you guys are soooo wrong on this subject give ukraine everything they need you guys said that russia are winning the war russia has failed almost every objective further escalation say that to the brave ukrainians who have fought with both hands tied behind their backs the whole war has been one massive russian escalation and now you are both butthurt about biden doing what is right and what ukraine has needed since the beginning also why are you worried about russia getting upset we sent tanks russia said they will nuke us if we do this didnt happen we got f16s for them russia said this is a major escalation and they will nuke europe didnt happen russia likes to bluff give em hell ukraine slava ukraini,"russia, ukraine",positif
im terrified at how trump is going to handle russia and israel because hes so unstable and unpredictable that an all out nuclear war is very much on the table,russia,negatif
putin would love nothing more to be able to keep escalating without a response from western countries he has definitely been using fear of escalation against us,russia,negatif
its not that serious ukrainian drones actually go like 700 miles ukrainian drones actually destroyed lots of weapons depots etc america is too late,ukraine,negatif
tell us youre prorussian without telling us so russia can bring in thousands of north koreans can kidnap russian kids and force them to live with russian families can bomb hospitals and child centers can hack critical energy infrastructure but when ukraine gets a better chance to defend itself youre mad its arbitrary red line after arbitrary red line and russia uses this major escalation rhetoric to try to stop the west from helping ukraine be independent,"russia, ukraine",negatif
there are no peace negotiations with russia it wants to de facto rule ukraine and dictate its future you cannot back down for an imperial bully on a land grab maybe next he will eye up poland or another nato country if hes emboldened,"russia, ukraine",positif
tell me again why ukraine should not be able to use the weapons they alredy have why should they not be able to fire them into russia it makes no senserussia is fireing plenty of weapons into ukraineand as for nato expanding east no promises where ever made to not expand nato to the east the idea of the promise was that nato was not going to take in countries from the warsaw pact the contries to the east other than east germany given that the soviet union agreed to a united germany entering nato it was talk nothing was ever formaly agreed upon nothing was written downsince then the warsaw pact has been desolved and the soviet uninon is no more eitherrussia actually putin himself has at one point in the 2000s expressed a wish to join nato it did not happen but still the idea that nato should not let any eastern europeans countries join because of a promise someone made to the soviet union verbally in the 1990s should stop nato expansion because russia does not like it makes no sense,"russia, ukraine",negatif
wrong this should have been done much earlier and not be pious chamberlains putin laughs at otherwise weak western leaders he laughs at us and starts a new war,russia,negatif
russian propaganda surrender youre still telling the fairy tale about johnson zelenskyj would no longer be president today if he had left his people to the russians after the bucha massacre that was the reason not johnson find out what was actually being negotiated back then surrender not peace there is no shame in showing your ignorance anyone who cannot do that is being deliberately stupid,"russia, ukraine",positif
ukraine wants to be an independent nation nato and the us are supposed to represent the ideals of freedom realistically only when there is some selfinterest involved usually oil the most obvious selfinterest is if ukraine is a nato ally they will forever be the front line between nato and russia nato will have a buffer zone for nato nations facing destruction from russian aggression the next two months may be ukraines dday so it is allin ukraine would be a fool to believe russia will not invade again at this point nato does not deserve ukraine as an ally and certainly do not want them as an enemy as they have done well against all the odds much respect to ukraine appeasement to russia guarantees future aggression with putin in power,"russia, ukraine",positif
escalation now 616 im confused so ukraine cant defend itselftheir in a full blown war,ukraine,negatif
president biden did not make an error this is good for our military industrial complex and our economy its good for ukraine its good for nato its good for western europe its not so good for the russians which is good the only bad thing is that the russians may figure out how to defend against our missiles,"russia, ukraine",negatif
