comment,comment_target
who will defend poor innocent little russia and her dictator tyt of course ignorant reporting,russia
trump should check zelynsky,unknown
wow ananice false equivalencies and conflation,unknown
stop with this heartless encroachment narrative if the us hasnt encroached russia would already be taking poland and hungary,russia
why are democrats a bunch of hateful warmongers,unknown
the dems dont give a crap they want to secure its as big of a mess it can be before trump steps in to make imposible for him to negotiate with putin,russia
killing all those people etc wtf cenk,unknown
the young russians,russia
nato never made hard promises not to expanded gorbatsjov who was soviets president at that time denies this,unknown
make russia und china great again make amerika poor again,russia
ana putin said that 4 other times f16s etc putin is bluffing cenk is an idiot tyts go to hell ukraine is fighting for their freefom tyts may as well be putin and trump stooges biden is right tyts are scum,"russia, ukraine"
629 joe went home and kamala is a broad,unknown
how is this critical error in anyone elses but russkis mind jesus tyt is a russian asset just like the rightwing nuts in this country,russia
do you think biden did it just to spite trump because he said he could end the war in one or two days think hard about this,unknown
lol russia was never going to lose,russia
shame on you tyt i have no words,unknown
i was on your side up until you showed your true colours by supporting hamas,unknown
ana you are now a russian stooge ana is an ignorant fool,russia
poke the bear you get bitten ukraine is a proxy nato war people of us and uk dont wont they voted trump and this is democrats taking the piss before they go,ukraine
btw no evidence nk troops fighting,unknown
to the last xoxol,unknown
she said that biden gave them 100s of the missiles i saw today they cost about 15 million dollars each good thing there are no hungry kids or homeless vets in the us,unknown
northkoreans are fighting at kursk area and they are bringing longrange artillery m1978 koksan with reach of 40km to front ukrainians need permission to use their western made missles on these targets this is not as big news as presented here it helps ukrainians but what they really need is mass instead of drops of aid russians are really throwing everything at them and this autumn has been bloodiest period of war,"russia, ukraine"
i live in europe and it feels like biden really wants people to like trump from the right to the left no one liked this,unknown
there were reports of another hezbolah leader killed where is your mourning material,unknown
thank god for trump biden is an old fool with a warmongers mindset,unknown
has anyone told biden about this,unknown
nato indeed moved towards russias border,russia
ukraine doesnt have a choice to fight the war if they dont fight they get conquered and will be forced into the russian army to attack nato we need to give ukraine everything they need to win russia isnt going to escalate every red line has passed and they havent done anything ukraine civilians are being raped and murdered on a massive scale wouldnt we defend ourselves this take is bad,"russia, ukraine"
ukraine has already lost 800000 soldiers and 5 million are crippled for life 20 million people fled the country that economy is dead blackrock wants that land but is not getting it now the soros family is angry,ukraine
wheres the evidence about north koraen troups nobody believes this lie spouting and lame duck president,unknown
they forgot to mention the fact that those long range missiles are useless without satellite logistics that ukraine doesnt havethat would have to be supplied by the west which will mean we will then be at war with russia in their eyes or anyone elses eyes that possess common sensebiden is lighting the house on fire on the way out the door,"russia, ukraine"
war bad i am very intelligent subscribe for more groupthink garbage takes on complex issues we refuse to put any thought into whatsoever prorussian clowns awful,russia
its not an error but absolute necessity and the entire world has to face with the consequencesif you have started a war between ukraine and russiayou cant stand backthis has nothing to do with bidenthis was natos plan and there is no turn backdont be stupidnaive or angel of peace and deal with the realitystanding back at this point means the western alliance will completely loose more than you can even imagineif russia wont be forced to retreat from the regions she has invadedthe last problem of western alliance will be the sake ukraine,"russia, ukraine"
russia is not in panic has an escalation ladder en differently from our idiotic us governmentsdemocrat and republican who seek to start wars everywhere but they are also serious if the us attacks russia directlywoke western countries should shut up,russia
cenk i firmly agree with you we need an adult in the oval office stat i do not know where all of this instability is coming from but a catastrophe could well be the resultagain senate needs to set a retirement age for all federal elected officials how about ages 65 70 years to avoid problems psalms 21 34 84 a man has to learn his limitations clint eastwood magnum force,unknown
449 they didnt start the war cenmamerica started the warrussia doesnt want ukraine to join natoand let nato soldiers station their next to their borders stop lying to your viewers you warmonger,"russia, ukraine"
what a surprise that young turks are shills for russia scumbags,russia
generally agree with you but being soft with russia because they threaten this or that is weak and wont solve anything you just encourage them,russia
you cant rationalize this bidens decision he just wanted to interfere the settlement which would be done by trump prowar biden had to continue the war for the sake of neocon,unknown
this actually doesnt matter very much,unknown
they got to make it harder on trump dems luv warn bend n over poor people,unknown
stick with the israelis you have no idea what your talking about with the ukraine war,ukraine
134 is this a commercial for lockheed martin,unknown
this is a massive escalation with a nuclear power and just before another president takes office this is a deplorable act by mr biden he shouldnt be doing anything hes a lame damned duck and a complete jackass,unknown
do not listen to us media if you want the tuth listen to the news from those nations involved they are saying the complete opposite of what the us says,unknown
this is the russian channel lets face it this fills in where rt used to be anti israel anti ukraine pro religion of peace that cenk belongs to despite him claiming to be educated this is a pathetic front for russia getting really tired of it in fact its like rt in that it attacks justified topics in the usa but then is very anti american over seas just like rt used to be you guys make me puke with your phony front,"russia, ukraine"
im an eastern european theres a complete misunderstanding of russian ambitions in central and eastern europe in this video i dont like wars at all i have friends who fled ukraine this is not a game of peace and war this is peoples homes and lives were talking about its easy for you to say make peace and loose this or that or dont make peace at all from other people please stop commenting if you dont understand the regions history or the conflict,"russia, ukraine"
ukraine war has been going on for years now tyt had minimum coverage on ukraine during the election cyclebut when its opportune to make bidenharris look bad now its time for coverage since the gaza war provided more shade to throw at bidenharris during the time it was overcovered during the election cycle,ukraine
nah putin have been escalating this whole time dont forget they attacked ukraine first why bring in north korean troops if russia is suppose to be so good besides putin is having a hard time with ukraine they cant afford another war right now with all the tough talk putin well lets see,"russia, ukraine"
discustingly pro russia i hope the russians are paying you wee,russia
he did it to complicate things for trump,unknown
they will start ww3 before trump gets into officeblame it on trump later,unknown
i rarely agree with tyt but i definitely agree on this subjectit was a needless escalation to green light long range missile strikes into russia putin is many things but he isnt a one to back down even if its the last thing he does evidenced by his dead mans hand mutually assured destruction program,russia
ana taking her checks from putin now,russia
tyt is a disgrace at this point and not only due to this these people are dumb,unknown
boris pushed ukraine not to accept a piece deal in the beginning because russia demanded ukraine to disarming and basically make it defenseless,"russia, ukraine"
russian federation is a prison house of nations and races of people,russia
apparently tyt does not support a nations fight for independence and selfdetermination probably will find some excuse not to honor article 5 this is an article 5 gut check for nato nations and its not their land being decimated russia now sees appeasement from the us,russia
this is not escalation this is giving ukraine the ability to defend itself,ukraine
cenk have you forgotten about the often used tactic of deescalation through escalation out strongest and most moral ally use it to perfection joe is learning from the best for peace,unknown
trump should tell ukraine if they use those weapons over the next two months then the us will break off all diplomatic relations with them on january 20th,ukraine
only one way to deal with a bully also are we not trying to help ukraine or not did we not already spend a gazillion dollars we have a vested interest go big or go home,ukraine
why didnt he codify roe v wade on his wya out,unknown
wow a lot of warmongering neoconsneolibs in the comments crazy to see people still justifying this horrific war that could have been ended with a peace deal in april 2022 and avoided all together if the usa didnt put its nose into other continents business,unknown
i normally dont agree with a lot of what you guys say but in this case i have to agree that this is going to be a scary 2 months i really hope things dont go as far as they can but it just might god help the world if it does,unknown
so sad this administration shows such support for fascism and nazism down with ukraine,ukraine
hell ya further escalation what the hell are you talking about you think putin is holding back why are you guys spreading russia propaganda is putin paying you guys too you know russias influencing our elections so not only has russia attacked ukraine russia has attacked the united states and dont forget about their attempt to send bombs to the united states in planes no you guys would rather spread propaganda about how denvers been taken over by illegals and you still havent recanted your lies how many ukraines have died from putins bombs how many children have been murdered by putin im having a problem figuring out the difference between you and fox news we should allow the ukraine to attack russia 9 years ago when they invaded ukraine the solution is just to give ukraine there nukes back so they can defend themselves from russia,"russia, ukraine"
this whole war is a mess i get both sides putin like it or not is a very intelligent man and i believe he loves his country on the other hand you have the right to protect your sovereignty facts though are facts ukraine was working to join nato and there was a guarantee that nato would never be allowed to be next door to russia and that treaty was being broken plus biden was never a serious threat to putin and he knew it what does also to be true but cant call it a fact is that ukraine was known to be corrupt as heck just look at the deals little biden was orchestrating there we know that we just dont know if the president of ukraine was involved,"russia, ukraine"
i do have to say that when i heard land mines were going to be used it pissed me off now that you reported that they only have a 2 week life span it gives me a bit of hope unfortunately war is war and theres no guarantee that they will be the only kind used land mines are obviously too dangerous for future civilians on the other hand when youre trying to hold land its hard to resist lets hope they stick to the 2 week model,unknown
i do have to say that when i heard land mines were going to be used it pissed me off now that you reported that they only have a 2 week life span it gives me a bit of hope unfortunately war is war and theres no guarantee that they will be the only kind used land mines are obviously too dangerous for future civilians on the other hand when youre trying to hold land its hard to resist lets hope they stick to the 2 week model,unknown
slava ukraini,unknown
here is where american ultra left cenk unite with american ultra right rogan to betray allies,unknown
i was shocked to see cenks tweet complaining about biden escalating the ukraine war by allowing them to use us munitions to strike russia they shouldve done this 2 years ago repeating russian propaganda by saying this is an escalation is super disappointing to hear from a leftist populist,"russia, ukraine"
glad theyre battery powered i think that takes the wind out of most of the critique i know that as lefties we are generally antiwar but we need to remember that there are causes that people think are worth the blood they shed and the lives they give we are ukraines ally ukraine did nothing to warrant an military aggression in fact it gave up its nuclear arsenal decades ago in a show of good faith for peace if ukraine is to not be reinvaded in the future it needs to negotiate from a position of strength and it can only be in that position if it can properly fight against a much larger force the willingness to just abandon the fight and our allies is sort of indicative i think of much of the rot of the left its too esoteric for us here in america weve never been pressed like the ukrainians have,ukraine
whats the problem russians use this mines for years,russia
cenk says russia is the aggressor he needs to read the monroe doctrine on his show then be asked what would the us do if mexico allowed russian weapons on their soil i think the word aggressor would take a different meaning i like tyts and support with funds not talk,russia
lol a mine that becomes harmless when the battery dies whats next disabling a nuclear reactor by turning off the power to the site,unknown
not really a reversal we say no a few times but ukraine and raytheon get whatever they want meanwhile americans starve and are homeless,ukraine
dark brandon leaving a shit show for the incoming administration sounds like a fair trade for the shit show he was handed,unknown
great more uxbs,unknown
fuck up and find out,unknown
hes trying to start ww3 he is a puppet for the globalists they want a war there is no option other than a peaceful negotiation biden already stopped one and a nuclear war,unknown
well he is a dumbass sooooo theres that,unknown
cenk trumps end to the war will not be a true end just a pause for putin to rearm and break treaties in the future and invade again just like he has always done,russia
if you ask me they should have given these permissions to ukraine on day 1 of the full scale military aggression should have stopped russia by force within the 1st month of this war,"russia, ukraine"
this thread is extremely disheartening in the comments theres just a bunch of neocons and warmongers not democrats,unknown
not our civil war its nice to see dems remembering we are anti war,unknown
if usa is in an active war does biden stay in office past january 2025,unknown
this is dumb except for nukes russians are already using everything they have since the first months of the warnuclearcapable iskander missiles are being shot at ukraine all the time since february 2022 shortly after russians also used cluster munitions thermobaric weapons all kinds of mines chemical agents eg white phosphorus in mariupol drones strategic bombers just about everything in their arsenal russia started mobilization since september 2022 and is transitioning to a war economy since then its the west that repeatedly goes through an identity crisis every time they are to deliver a new type of weapon system,"russia, ukraine"
biden is not escalating he is recognising and acting upon the clear and present danger represented by putin who has been waging covert war on the west for years,russia
i totally disagree caving to putins feargame is what he wants putin has been playing the nuclear card for many months now every red line like western tanks f16s was crossed without any retaliation putin has run out of soldiers if we bow to this psychomaniac now ukraine is lost and so are we eventually the war is over on the day putin sees his goals of occupying large swaths of ukraine is in danger,"russia, ukraine"
i always hear this argument escalation needs to stop go tell the russians that ukrainians were invaded cities literally obliterated over 20000 children kidnapped execution of prisoners intentionally bombing hospitals supermarkets why is it when this argument comes up it always people asking ukraine to not escalate when they are the ones fighting for their very survival its such a backward way of thinking thats like asking poland or france to stop escalating when they got invaded by the germans russia can literally end this war tomorrow by withdrawing their troops biden has simply given the ukrainians the ability to fight without their hands tied behind their backs the authorization was for strikes only in the kursk region putin is not going to nuke anyone he has been saying that since the beginning to try and get the west to back off and let him take what he wants do we want to set a precedent from here on out that threatening to use nuclear weapons to get what you want is okayyes we want the war to end but a just lasting peace will only be possible when ukraine is in a position of advantage at the table because if we let putin take the land he has conquered it only rewards this type of behavior in the future which will lead to actual us troops on the ground,"russia, ukraine"
if the roles were swapped uger and anna would be screaming but because it comes from biden its more about hey its not really an icbm said so nonchalantly,unknown
america is embarrassing itself by provocating russiathe truth is russia cannot be defeated by media propagandathe war in ukraine has exposed the west vanurability bcz every weapon they provided thinking would change the war received a more powerful response from russiaits time the west came back to their sense before the world is put in a nuclear war,"russia, ukraine"
biden fails at everything now he threw a tantrum after losing america will pay the consequence,unknown
russia escalated by bringing in north korean soldiers into the war im going to have to unsubscribe tyt you are trying to spread fear in the american portion of your audience by acting like putin will actually go through on his threats everyone saw how well their initial military aggression went putins oligarch buddies have been siphoning money meant for the russian military for decades and their pathetic military aggression exposed it ukraine has almost got this in the bag and now you are trying to get americans to back out if ukraine backs down now russia will recoup with nk and steam roll them within a year president zelensky will be klled by putin fck you you cowards what happened to americans between 1776 and now even the russian bots are agreeing with this channel now,"russia, ukraine"
wow president biden may just be doing this for a reason,unknown
what is going on here i find myself increasingly agreeing with tyt,unknown
biden is enabling genocide its time for a war crimes arrest warrant to be issued,unknown
i follow you guys but you have no real knowledge of the history that predates all of this,unknown
bidens spending as much as he can of your money on warfare ukraine should be responsible for costs in the future not being let off the hook for billions in aid you end up for this bill for a war they cannot win while the richest get richer from it and 75 of americans will pay it for years and years,ukraine
not one single comment mentions why russia invaded ukraine back in 2000 secretary of state james baker of the united stated told russia that nato would not be moving one inch eastward russia told nato they did not want military bases on its borders just like the united states would not want to have russian military bases in northern mexico that is the real reason why the war started,"russia, ukraine"
its okay we cant pronounce cenks name either,unknown
this is why liberals lose they give in they give up,unknown
if we hand ukraine to russia because putin threatens to attack us with nuclear weapons then he will obviously use the same threat to demand the next country be handed over moldova will be first then georgia armenia azerbaijan and probably estonia all putin has to do is say surrender or i will attack with nuclear weapons soon it will be turkey that is next on putins list a nation that has wavered in its support for nato but become a bit more willing to stick with the alliance since the military aggression of ukraine what would we do then hand over turkey because putin has threatened us,"russia, ukraine"
there is no such thing as a humane war once war starts there will be unimaginable suffering and the manner of death is secondary the defending country has no choice but to use whatever weapons it can get because more people will die if the military aggression succeeds the idea that somehow putin will do something worse if the us provides weapons to ukraine is not logical putin is already as brutal and murderous as he can be if he were able to hold another draft he would do so he cannot because it would inflame opposition in russia if he were able to persuade his generals to use nuclear weapons he would do so he cannot because most of his generals dont want to be killed in a nato attack and would not follow such an order using icbms to carry conventional warheads is just posturing it is a very expensive way to deliver a conventional explosive,"russia, ukraine"
russia wouldnt have invaded if the usa refrained from including ukraine into nato the us shouldve stuck to the treaty,"russia, ukraine"
its obvious why biden is escalating with more weapons ukraine is on the cusp of losing and he wants to prolong it until trump is president so they can blame him and no i am not a trump supporter,ukraine
honestly fuck ukraine all this bullshit pro ukraine propaganda makes me want them to lose since when has ukraine been an ally of america its not like theyve been a long time friend or anything literally just an excuse for the military industrial complex to test weapons on live russians,"russia, ukraine"
fyi these are not passive mines these are remote controlled when no loner wanted you can just set them all to blow fyi2 russia has been laying old school dumb mines sine the start back in what 2014 fyi3 ukraine has laded old school mines of their own fyi4 apx 20 of ukraine is mined right now one big dangerous mess is coming,"russia, ukraine"
biden is considering sending nukes to the neonazis in ukraine as deterrent soabout impeachment,ukraine
biden lacks the courage to confront israel or russia biden needs to stop sending weapons and funds to israel who is guilty of a genocide and confront israel for massacring 44000palestinians mostly woman and children but ukraine has been invaded by russia we need to help ukraine end this immediately,"russia, ukraine"
despite bidens shortcomings in handling the israel situation trump the gop and russia are worse the palestine conflict has resulted in 40k casualties whereas approximately 200k ukrainian and 600k russian casualties take it from the horses mouth russian propaganda openly acknowledges its ambitions to invade more countries and its literally their mission to destroy democracies recently the us department of justice uncovered a covert campaign where russia used the statecontrolled media outlet rt to funnel 10 million through a us media company this company in turn paid prominent rightwing influencers to spread kremlinaligned propaganda the campaign is part of russias ongoing efforts to influence us policy and public opinion which unfortunately succeeded in getting trump elected politicians of the right will get vaccinated but when on air will openly lie and peddle conspiracy theories twice as many republicans died than democrats after the vaccines came out because of the right wing medias culture wars to distract for the corporate elitetrump never liked the metaphor drain the swamp he said in 2016 quote i hated it somebody said drain the swamp and i said oh that is so hokey that is so terrible trump has always ab tested in front of crowds and whatever the crowd likes he gives it to them because he doesnt have any ideology hes a con man and youre a mark he thinks what do you like what do you want that hell pretend to be in favor of when trump realized his audience loved the phrase drain the swamp he quickly made it part of a standard stum speech in 2016 and again in 2020 it is mainly in 2016 and why he won in 2016 on the campaign trail in 2020 he remarked about the phrase drain the swamp quote i put it in one speech the place went crazy i said im starting to like that expression he never believed in it hes just doing it to get people to believe in him while he does the exact opposite trump made an excellent pr move in turning down 400000 in presidential salary while behind the scenes in office took 78 million from 20 foreign governmentsbrian ballard is the biggest bundler for donald trump hes given him 50 million in campaign contributions he used to be the communications director for citizens united the actual group that sued to be allowed to do corruption and happen in the first place they wanted to funnel untold number amount of money to politicians for the donors so they can control the government and they won that case he was their communications director and is in many ways patient zeroin 2020 steve bannon a former trump advisor along with three others was charged with fraud related to the we build the wall fundraising campaign the campaign was supposed to raise money privately to help construct a border wall along the usmexico border bannon and his coconspirators were accused of misappropriating the funds for personal use the charges stated that the organizers promised donors that 100 of the money would go toward building the wall but in reality hundreds of thousands of dollars were diverted for personal expensesbannon was arrested in august 2020 and pleaded not guilty to the charges however just before leaving office in january 2021 president donald trump granted him a pardon the pardon absolved bannon of federal charges related to the case other individuals involved in the scheme were not pardoned and continued to face legal consequencesnotably one of bannons coconspirators brian kolfage pleaded guilty to charges related to the fraud in 2022 admitting to misusing the donated funds for personal benefits,"russia, ukraine"
vance called trump hitler openly lies about democrats supporting abortion up to the moment of birth calls a pregnancy from rape an inconvenience and lied about kentucky gov andy beshear saying he said he wished for a member of his family to get raped knowing he was referring to him having to deal with an unwanted pregnancy regarding his military service and the stolen valor accusations of walz its nonsense vance wasnt asked to serve in that illconceived war he didnt have a choice jd served in public affairs rather than on the front lines as a junior enlisted marine at the start of the global war on terror gwot his options were to deploy as ordered or face a court martial for desertion dereliction of duty and other charges potentially landing him in leavenworth at the usdb vances claim that he loaded his guns after trump shooting doesnt make sense walz was close to retirement when 911 happened but delayed it for another four years as a command sergeant major he wasnt going to be out on patrol he was focused on performing the highlevel duties expected of someone at the e9 rank if there had been a significant need he could have been placed under stop loss and prevented from retiring at his age he was eligible to retire which is the typical retirement age that is a common decision for many but more notably he retired to run for congress on a platform focused on ending the war he campaigned by highlighting the devastation caused by the war and later voted to bring all troops home within 90 days he could have retired earlier but he stayed in longer he submitted his paperwork for his congressional run in early 2005 a few months later he submitted his paperwork for retirement a few months after that is when the deployment orders to go to iraq for his battalion came out so he didnt know in early 2005 later that year there would be deployment orderstrump is a literal draft dodger he avoided service in the vietnam war through student and medical deferments he said he got a medical deferment for a bone spur in a foot but couldnt remember which foot when he talked about it in 2015 he reportedly called soldiers who died in war suckers and losers and he also called his sex life in the 80s his own personal vietnamcontrary to the right wing media lies and propaganda there is no policy requiring tampons in boys bathrooms instead the law provides menstrual products in genderneutral and girls bathrooms democrats are never advocating for switching genders to those who do not want to consider this would you prefer being with a person who you dont know what is like on the inside because they are keeping it a secret they will feel comfortable with who they are and you get to know what they are really like,unknown
trump supporters have attacked figures like nancy pelosis husband an incident trump later mocked and even attempted to kidnap a democratic governor after trump publicly criticized her nevertheless the claim is that biden and harris have been the true instigators of violence trump has encouraged and laughed at violent actions from his side numerous times when he warns people about danger hes only concerned when it affects him he jokes about pelosis husband being attacked with a hammer but takes offense if anything happens to him showing clear hypocrisy in his reactions to political violence trump tweeted that pence didnt have the courage to do what should have been done to stop the certification of the election which in 60 court cases later with judges even appointed by trump failed to provide any evidence in december 2022 donald trump suggested that the us constitution could be disregarded stating that a massive fraud allows for the termination of all rules regulations and articles even those found in the constitution making trump and the gop the biggest threat to american democracy in us history after donald trump learned that his supporters were chanting hang mike pence during the capitol riot on january 6 2021 former white house aide cassidy hutchinson testified that trump showed indifference or even approval according to hutchinson trump reportedly said he doesnt think theyre doing anything wrong and expressed that pence deserved it when told that his supporters were armed trump allegedly said theyre not here to hurt me further fueling concern about his stance on the mobs actions most acts of terror in the us are caused by right wingers something the right wing media makes sure to not inform its viewers to distract them for the corporate eliteformer longest serving trump chief of staff john kelly raises the alarm declaring trump a bonafide fascist,unknown
elon musk trying to kill as many ukrainians as possible elon musk working for the russians new axis of evil russia china iran northkorea analysis elon is a fake free speech warrior the cult of musk elon has always been political with hidden agendas elon musk im fkd prison sentence elons door knockers were treated terribly 1000000 fundraiser 1 million broe christmas convoy,"russia, ukraine"
rfk jr said trump was a terrible human being the worse sic president ever and barely human he is probably a sociopath he criticized president trump for failing to deliver on his promises to american workers he accused trump of promising to revive manufacturing raise wages fix trade deals close tax loopholes and support small farmers but instead catering to the interests of the republican establishment according to rfk jr trumps achievements primarily benefited wealthy individuals like jeff bezos deregulated industries for special interests and provided advantages to large agricultural conglomeratesrfk jr pointed out that trump allowed influential figures from the bushera gop to dominate his administration appointing lobbyists from the oil gas coal and pharmaceutical industries to key positions he also criticized trump for supposedly supporting small farmers but ultimately funneling funds to large agricultural corporationshe highlighted the social unrest during trumps presidency noting the significant rioting and looting and accused trump of inflaming racial tensions and failing to maintain public safety instead of addressing the chaos rfk jr argued that trump allowed democratrun cities to burn for political opticson foreign policy rfk jr condemned trump for unilaterally withdrawing from the intermediaterange nuclear missile treaty with russia which destabilized relations and exacerbated tensions between ukraine and russia leading to war he also criticized trumps appointments of neoconservatives like john bolton hr mcmaster and robert obrien suggesting that lindsey graham might become his secretary of state in a second termrfk jr further accused trump of bombing syria killing an iranian general and failing to end the war in afghanistan he blamed trump for initiating lockdowns during the pandemic which he said led to the closure of millions of small businesses and a significant transfer of wealth to billionaireslastly rfk jr claimed that trump did little to address the opioid crisis which worsened during his presidency while his appointees were aligned with the interests of big pharma he concluded by warning that a second trump term would likely bring more of the same in his words if you think a second trump term would be any different you are engaging in wishful thinkingthese statements came out merely two months before he threw his support behind trump after the democrats denied him airtime for his unfounded vax conspiracy theories and pro kremlin aligned propaganda points he sacrificed any remaining integrity and appears to have opted for a path of bitter revengetrump picks brutal war hawk for national security adviser,"russia, ukraine"
theres a man that engaged in an insurrection do you approve and scotus delaysthere is a man in new york that tried to hide his past before an election do you approve convicted on 34 countstheres a man that rapes a woman and molests others do you approve adjudicated 92 milwhat if a man keeps secret sensitive files in unsecured ways do you approve and his judge delays indefinitelywhat if a man conspires to steal votes do you approve 419 plead guiltywhat if a man cooks the books and steals from the people do you approve adjudicated 463 milthese are just 6 undisputed questions is this the type of person you will support at the sake of losing your own respectdrumpf three times this year he has been adjudicated as a sex offender company fraudster and now faces 34 class e felony charges with up to 4 years in jail for falsifying records to cover up his infidelities prior to the 2016 elections that may have changed the result of who would be president of the united states of america so much for election integrity2016 election campaign five of drumpfs staff were found guilty of crimes that were used to help drumpf become president only to have drumpf pardon them2020 election campaign five of drumpfs staff have pleaded guilty to their part in trying illegally to change the outcome of the election and nearly 55 more people have been indicted in five states for their part in trying to overturn the election with the fake electorsin business his personal lawyer was found guilty of crimes related to the 2016 election the cfo of trump co was found guilty of financial crimes in the companys name and has been to prison twice due to thesethe gop contender for president has announced that in the event that a delinquent nato country gets invaded by russia he would encourage them to do whatever they like article 5 has only been used once and that was after the september 11 attack on the usa is this the true manchurian candidate via the kremlinfake news has found its father mr pecker of the national enquirer and donald drumpf is its godfatheri wonder what daddy and granddaddy would say about their prodigy turning their name into a term that will go down in history as rich people begging lets call it trumping for moneyi think little donald going by his latest rallies must be using baby shark doodoo doodoo doodoo to hype himself up with before the rallies what do you thinknot that this has anything to do with the election he is not a politician or the computer from hell but for the record hunter biden was found guilty of three felony counts regarding his 2nd amendment by misreporting on a firearm license052324 us inflation rate is at 336 compared to 348 last month and 493 last year real gross domestic product gdp increased at an annual rate of 16 percent in the first quarter of 2024 january 2020 25 the us job market expanded in april for the 40th consecutive month but at a slower pace 175000 new jobs were added in april unemployment rate 37 may 272000 nearly 100000 over expectation january 2020 25 the dow posted its alltime high during trading on may 16 2024 reaching a peak of 4005105 points making 401k higher under trump on january 2020 28600 the reason you feel poor is that drumpf and lara at the gop keep asking for your last dollar,russia
its nice that you think just because trump stops funding the war will end there is no end until putin has all of europe and continues on you have to pull your head out and realize this is only the beginning of the glut for power of the world you arent seeing the forest through the trees putin has killed millions of innocent people you would like to sit on your thumbs while this continues you cant let putin get the upper hand he has to be stopped yes he has nukes so do we im pretty sure we arent going to be the first to shoot but they also know that whatever happens the picture will not be pretty for anyone putin is using a bluff card to scare you and that he is in control but really he is not hes losing thousands of men and money everyday and it has taken a big toll on his country he is too stubborn to admit defeat,russia
cenk correct your spirituality,unknown
and i was starting to feel sorry for biden this will be his legacy a failed senile president who escalated conflict right before the next president,unknown
when it comes to upholding international agreements that coax countries into nuclear disarmament you and ana are really shitty and embarrassing,unknown
banning the use of landmines is mind numbingly dumb,unknown
further escalation wtf is this hoe on,unknown
russia brought in north korean troops i think ukraine needs to fight back trump wants to make a deal by letting russia keep what theyve seized so far and 20 years before they can join nato yeah so russia has 20 years to take more or all of ukraine i feel for zelinsky if zelinsky wants to use these weapons thats on him what should happen is letting ukraine join nato just before trumps inauguration fuck trump if hes so damn tough hell tell putin thats enough his base thinks hes tough on foreign leaders sms,"russia, ukraine"
the democrats have become the prowar party,unknown
usa vetoed a word wide ban of land mines the good guys yippi,unknown
east germany is the same thing in the end germany got them back when putin is gone i have a feeling ukraine will get their land back,"russia, ukraine"
putin strikes me as a very vain man he doesnt want to be known as a guy who makes idle threats that arent to be taken seriously hes close to that point now and he must know it im more concerned about ww3 now than i was back in the 70s and early 80s i dont even feel safe here in tassie anymoreworld leaders really need to wake up to themselves,russia
are we still pretending biden has been running the country we will be lucky if this administration doesnt get us all vaporized he knows trump will stop the war when he gets in and that is why the biden administration is doing it,unknown
seems like tyt is leaning hard right these days progressives were in support of ukraines right to defend itself until they needed a reason to criticize democrats to keep their progressive credentialsrussia is allowed to escalate by bringing in a whole other country into the fight when they start losing but we cant give them the tools to defend themselves couldnt have been threatening nuclear war since he invaded ukraine hes trying to scare you out of ukraine so that he can take land all of the escalation on russias part are acts of desperation because they couldnt take ukraine in 3 years,"russia, ukraine"
so many neocon tendencies by leftists in the comments they really do love war and the cheney mindset lmao complete lack of understanding of the us involvement in ukraine the 2014 cia led coup and the mistreatment by ukraine of the ethnically russian people in the eastern part of the country,"russia, ukraine"
biden is trying to make it where trump has a hard time getting out of ukraine well not biden but whoever is pulling his strings,ukraine
bitter old man kicked aside by his own team more than capable of burning down the house on his way out the door,unknown
the democrats wont be happy leaving this administration without giving trump even more grief and they wonder why much of the american people voted for him its the republicans behaving with more democracy than the democrats now talk about a switcharoo but goes to show its about the people not the party,unknown
is this rt,unknown
these 2 are complaining about a possibility of ww3 but voted for the exact same people who are pushing for a greater war make it make sense please shut up you have no say jihadi cenk complaining about what this administration is doing but still going for said people truly remarkable i would love to live as a democ for a whole year and truly see what you idiots think of on a daily basis absolutely ridiculous,unknown
lmfaoooo what a jihadi this phat whale democrat said donsk i am in tears,unknown
thats is bidenharris goodbye gift to americans,unknown
ok snowflakes what now,unknown
i think that biden wants to go out with a bang the problem is the bang might be nuclear war i cant wait until trump gets takes over and stops the war,unknown
really strange to watch hardcore dems reporting on a dem president leaning towards ww3 after voting for said dem presidents lackey kamala harris then acting like they disapprove of them trying to start ww3 after losing the election just image if kh was elected,unknown
at this point nobody believes the major media and or ukraine and certainly not the biden administration,ukraine
the battery lasts up to two weeks,unknown
geeezyou are obviosily ignorate to the fact that russia has used iscander ballistic kalibr missile among others that are tactical nuclear carriage capable from day dotalso arent you betting on trump actually succeedingi mean its not like russian tv hasnt been cucking trump since the election with melanias racy pics lol,russia
biden is possessed by a demon as prophesied,unknown
compostable mines,unknown
this is where tyt lack of authenticity shows,unknown
bidi for biden,unknown
go joe go bo joe bom,unknown
im gonna do myself a favor and stop watching any of your videos on ukraine i dont know if you are bought and paid for because i just so happen to hear the same cowardly history revisionism in the other political commentary program i watch but either way i cant believe i am alive to see chamberlain telling everyone to leave hitler alone happen once again we literally do not learn as a species the absolute state of the world is beyond depressing,ukraine
ww3 is more likely if ukraine gets no weapons,ukraine
russia has no choice what if iran set up camp in mexico would usa set back passive and not do anything or would we do the same thing russia is doing,russia
